menu_week_start,scraped_at,id,core_recipe_id,name,portion_weight_g,kcal_per_portion,protein_g_per_portion,fat_g_per_portion,fat_saturates_g_per_portion,carbs_g_per_portion,sugars_g_per_portion,fibre_g_per_portion,salt_g_per_portion,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,fat_saturates_g_per_100g,carbs_g_per_100g,sugars_g_per_100g,fibre_g_per_100g,salt_g_per_100g,five_a_day,prep_time_min,preparation_type,spice_level,food_brand,dietary_claims,rating_avg,rating_count,is_available
2026-06-02,2026-05-27,e561b390-1f58-45c1-a3a3-7b38ce9533a7,4150,Tomato & Mozzarella Tortelloni With Pistachio Pesto,290,547,26.9,23.2,8.0,58.3,11.6,7.7,1.43,188,9.3,8.0,2.7,20.1,4.0,2.6,0.49,1,10,full-prep,no spice,Pasta Pronto,Vegetarian,4.09,19859,True
2026-06-02,2026-05-27,a3add138-d60b-4e16-969e-4437443337b5,6256,Tomatoey Pork Meatball Sandwich With Chips,483,602,39.8,17.2,7.0,73.5,6.1,7.2,2.09,124,8.2,3.6,1.4,15.2,1.3,1.5,0.43,2,45,full-prep,no spice,Family Kitchen,,4.43,17053,True
2026-06-02,2026-05-27,e3456bd5-3bfc-48f3-8f74-e04d4c836622,2792,Turkish-Style Lamb Stew With Aubergine Yoghurt,452,551,37.6,20.2,8.7,54.9,12.7,7.7,1.44,121,8.3,4.5,1.9,12.1,2.8,1.7,0.32,2,45,full-prep,spicy,Global Kitchen,,4.33,6479,True
2026-06-02,2026-05-27,21c2b5c7-eb58-4a21-93af-1a62f83fff2e,13493,Ultimate Beef Brisket & Black Bean Chilli With Coriander Rice,,860,50.4,37.5,,80.0,,,3.02,,,,,,,,,3,45,full-prep,spicy,Gastropub,,0,0,True
2026-06-02,2026-05-27,5ed93153-0bfd-47c3-9652-f9ac7077ebaa,4307,Ultimate Pulled Pork Burger With Cheesy Chilli Corn And Fries ,606,942,47.7,49.2,12.5,78.6,12.8,9.4,2.65,155,7.9,8.1,2.1,13.0,2.1,1.6,0.44,2,40,full-prep,mild,Ultimate Fakeaway,,4.49,3643,True
2026-06-02,2026-05-27,d0169017-33ce-410f-8fad-2269c5a0a00b,3515,Veg-Packed Rice With Lime King Prawns,445,417,22.7,2.5,0.5,77.2,14.1,10.2,2.13,93,5.1,0.6,0.1,17.3,3.2,2.3,0.48,3,40,full-prep,mild,Calorie Controlled,Dairy Free; Gluten Free,3.91,3866,True
2026-06-02,2026-05-27,3eca2b00-00e1-4a00-b02b-e9fbd9286384,5883,Veggie 'Cheeseburger' Rice Bake With Saucy Relish,447,730,28.9,32.3,7.9,85.1,13.8,10.6,2.86,163,6.5,7.2,1.8,19.1,3.1,2.4,0.64,2,50,full-prep,mild,Global Kitchen,Vegetarian; Gluten Free,4.29,319,True
2026-06-02,2026-05-27,7d99cf87-9b86-408e-a413-a98550d15f36,5527,Vietnamese-Style Pulled Shiitake Mushroom Rice Bowl,340,625,22.3,23.5,9.9,58.4,5.7,18.0,3.64,184,6.6,6.9,2.9,17.2,1.7,5.3,1.07,1,25,full-prep,spicy,20 minute meals,Vegan; Vegetarian; Dairy Free,4.43,8169,True
2026-06-02,2026-05-27,cef2c9ae-f86c-45b8-ad51-b820400ade87,334,Warm Ginger Beef Noodle Salad With Peanuts,359,558,34.4,27.6,10.0,43.3,14.9,6.4,2.08,155,9.6,7.7,2.8,12.1,4.1,1.8,0.58,2,20,full-prep,spicy,Protein Hit,Dairy Free,4.15,5995,True
2026-06-02,2026-05-27,a7c5d9eb-958f-4f24-9a35-37b2ad60fe9d,12598,Warm Lemony Lean Double Beef Tabbouleh,482,638,65.7,12.9,4.6,67.9,14.1,6.5,1.25,132,13.6,2.7,0.9,14.1,2.9,1.4,0.26,1,30,full-prep,mild,20 minute meals,Dairy Free,3.73,15,True
2026-06-02,2026-05-27,a071ad9b-017e-422a-8a3b-a7565d605eec,4086,"Warm Pepper, Lentil & White Bean Salad With Goats' Cheese",552,363,22.4,10.9,6.5,37.1,12.0,17.8,0.69,65,4.0,2.0,1.2,6.7,2.2,3.2,0.12,4,10,full-prep,no spice,10-Minute,Vegetarian; Gluten Free,3.93,661,True
2026-06-02,2026-05-27,c31d9cda-e3c1-4585-81bd-d55e1c0c2875,14235,Warm Tenderstem Broccoli & Greek Cheese Grain Salad,398,465,19.1,14.6,7.8,63.0,17.6,9.8,1.2,116,4.8,3.7,2.0,15.8,4.4,2.5,0.3,2,35,full-prep,no spice,Nutrient Rich,Vegetarian,4.23,110,True
2026-06-02,2026-05-27,3c6edbc3-aa2f-425f-b789-64e091656430,4374,Zingy Chicken With Lime & Chilli Noodles,360,458,39.1,11.4,2.0,47.3,5.8,8.0,2.37,127,10.9,3.2,0.6,13.2,1.6,2.2,0.66,1,10,full-prep,spicy,10-Minute,Dairy Free,4.22,5783,True
