week,slot_number,brand,recipe_title,person_size,calories,grams
2026-W20,30,HelloFresh,'Nduja and Red Pepper Ravioli Arrabbiata,2,2723,388.8
2026-W20,31,HelloFresh,"Sausage, Sage and Butternut Rigatoni",2,4108,511.3
2026-W20,32,HelloFresh,Fuss-Free Tandoori Inspired Chicken Traybake,2,3247,691
2026-W20,33,HelloFresh,Pesto Chicken Traybake and Garlic Rice,2,2784,560.4
2026-W20,34,HelloFresh,21 Day Aged Rump Steak and Oregano Roast Potatoes,2,2512,570.8
2026-W20,35,HelloFresh,"Super Quick Spaghetti, Beef and Mushroom Ragu",2,2946,419.9
2026-W20,36,HelloFresh,Squeaky Clean Up Lamb Tagine,2,3102,578.5
2026-W20,37,HelloFresh,Peri Peri Chicken Fajita Style Tacos,2,3185,460.3
2026-W20,38,HelloFresh,Easy Peasy Teriyaki Sambal Chicken,2,2294,436.8
2026-W20,39,HelloFresh,Spring Clean Up Cajun Spiced Chorizo and Leek Orzo,2,3244,419.3
2026-W20,40,HelloFresh,Speedy Beef and Red Wine Open Pie,2,2340,589.5
2026-W20,41,HelloFresh,Roasted Chicken Thighs and Cheesy Leek Sauce,2,3243,627.9
2026-W20,42,HelloFresh,Cheesy Harissa Fritter Burger and Chips,2,3981,819.8
2026-W20,43,HelloFresh,Rich and Creamy Veggie 'Nduja Tortelloni,2,2663,432.5
2026-W20,44,HelloFresh,Yi Mein Inspired Longevity Noodles,2,2101,355.5
2026-W20,45,HelloFresh,Veggie Peanut Noodle Stir-Fry,2,2291,364.5
2026-W20,46,HelloFresh,Hearty Lentil and Mushroom Cottage Pie,2,2989,731.4
2026-W20,47,HelloFresh,Butternut Squash Masala,2,3105,877.5
2026-W20,48,HelloFresh,Glazed Halloumi and Gochujang Coconut Curry,2,3688,474.5
2026-W20,49,HelloFresh,Cheesy Veggie Mince Quesadillas,2,3809,610.4
2026-W20,50,HelloFresh,"Coconut, Ginger and Lemongrass Tofu Bowl",2,3147,567
2026-W20,51,HelloFresh,Chermoula Spiced Butter Bean Salad,2,2346,481.5
2026-W20,52,HelloFresh,Honey Mustard Roasted Radish Gyros Style Flatbreads,2,2426,530
2026-W20,53,HelloFresh,Smoky Ratatouille Stuffed Courgette,2,2054,745.3
2026-W20,54,HelloFresh,"Wham, Bam, One Pan Hoisin Pork Udon",2,2463,410.5
2026-W20,55,HelloFresh,Homemade Lamb Keema Pau,2,2696,526
2026-W20,56,HelloFresh,Chicken Gyros Inspired Bulgur Bowl,2,2729,537
