week,slot_number,recipe_nk,recipe_title,total_kcal,total_grammage,kcal_net_pantry,grammage_net_pantry
2026-W20,4,2a53c4f5-d606-4601-b189-561bd12242d7,Comforting Coronation Chicken Curry,678.7762906309752,626.5,678.7762906309752,626.5
2026-W20,5,4c3d7a56-1381-432b-a25b-dfbc6a5eec28,Honey Mustard Sausages and Creamy Potato Gratin,867.8298279158699,889,867.8298279158699,889
2026-W20,6,f8f3f1ea-948e-423b-9503-c77ca28bee56,Pronto Pesto Pasta Verde,888.3843212237093,410.3,888.3843212237093,410.3
2026-W20,7,5ecbf6cf-ae0e-493d-9242-78286a82c86f,Smoky BBQ Pulled Chicken Buns,968.6902485659656,687.9,968.6902485659656,687.9
2026-W20,8,8a0531d8-07e3-4c78-8dd5-05c06c901299,Family Favourite Honey-Soy Crispy Chicken,623.3269598470363,588,537.0669598470363,574
2026-W20,9,d64c6397-c001-4663-833b-8ddc01d1f54e,Fast Fragrant Vietnamese Style Chicken Salad,630.0191204588909,435,498.51912045889094,420.12
2026-W20,10,03bda50a-cf7b-4e28-9c7a-10793a3f59cb,Thai Style Spiced Chicken and Satay Sauce,920.889101338432,601,907.559101338432,597.56
2026-W20,11,1d76fe78-52c4-43ba-994d-906f4148b3a5,Quick Indonesian Inspired Pork Noodles,714.8661567877629,406.8,714.8661567877629,406.8
2026-W20,12,d0519423-8772-4ff5-8a7a-f098f1cf48be,Fragrant Sach Ko Ang Inspired Beef Kofta Baguette,865.9177820267686,445.5,858.1777820267686,443.5
2026-W20,13,8aae4144-1b23-4e3b-b62a-2b7a184cacad,Indonesian Gado Gado Inspired Salad,626.6730401529636,619.5,557.0530401529636,610.2299999999999
2026-W20,14,429be7d7-44f6-480e-a1a4-9cdfd48b4a94,South East Asian Inspired Chickpea Curry,957.6959847036328,790.2,949.9559847036328,788.2
2026-W20,15,801a4a0b-8ac8-4eae-bfe7-e1937f02dc1c,Pork Steak and Sweet & Sour Ginger Rhubarb Sauce,592.2562141491395,548.5,512.8162141491396,536.5
2026-W20,16,7d60dd25-96dd-4bd9-b660-e95b1f99ba92,Purple Sprouting Broccoli and Chorizo Jam Rigatoni,765.2963671128107,562.5,693.5963671128106,552.5
2026-W20,17,b2063102-c966-4d52-b473-0acfa9ba2cea,Sticky Thai Style Pork Rice Bowl,709.1300191204589,524.5,709.1300191204589,524.5
2026-W20,18,6dabbd8a-8d36-4672-b228-5eeb16814f96,Peri Peri Spiced Chorizo and Chickpea Traybake,665.8699808795411,747.3,665.8699808795411,747.3
2026-W20,19,2ce2a05a-0f67-4de4-a3a8-36e9032d87d7,"Sour Rhubarb, Cinnamon and Lentil Curry",811.9024856596558,902.5,732.4624856596558,890.5
2026-W20,20,49735729-bfb0-4d20-8c33-cf5c8b689670,Purple Sprouting Broccoli and Courgette Risotto,662.7629063097514,727.8,591.0629063097514,717.8
2026-W20,21,aeec16ce-ea2f-4305-8141-6b6ec5bf0d77,Caribbean Style Spiced Salmon,631.453154875717,499.8,499.953154875717,484.92
2026-W20,22,0fb560f4-708f-4592-9db6-7c586c859da8,German Inspired Haddock in Mustard Cream Sauce,556.4053537284894,509.5,521.5953537284895,505.28
2026-W20,23,67e98b3c-f8e0-4270-9a67-1c5612b508a3,Traybake Prawn and Pepper Fajitas,666.8260038240918,565.5,666.8260038240918,565.5
2026-W20,24,228d6ff2-b9b0-4765-bb30-0fab0ea7c18e,Peanut and Prawn Noodle Stir-Fry,492.82982791586994,451,492.82982791586994,451
2026-W20,25,18096bff-f90b-4d69-8d81-5919fddd6b84,"Lemon, Parsley and White Wine Moules Frites",643.4034416826004,659.3,573.7834416826004,650.8599999999999
2026-W20,26,ba76ef6a-32d1-4db8-870e-291a1e35b76d,Cheesy Piggy Pie and Peas,826.0038240917781,833.5,818.2638240917781,831.5
2026-W20,27,57ed0a82-ab8a-4b3b-88f4-c37be5e81334,One Pan Gochujang Beef Udon,497.6099426386233,460,497.6099426386233,460
2026-W20,28,2c3dfa21-c7d7-4766-9836-99ae727bda1a,15 Minute Fragrant Peanut Chicken Curry,706.9789674952199,476.1,703.1089674952199,475.1
2026-W20,29,d5aa03b4-7fdd-4294-8986-5caf9c093069,Super Quick Chorizo and Bean Stew,536.8068833652007,510.9,536.8068833652007,510.9
2026-W20,30,d6df09a6-728b-4a3e-9fa4-1d01721f9ab1,'Nduja and Red Pepper Ravioli Arrabbiata,650.8126195028681,388.8,575.2426195028681,377.8
2026-W20,31,4c264efc-3da1-4150-85a1-12fb6321fe42,"Sausage, Sage and Butternut Rigatoni",981.8355640535373,511.3,981.8355640535373,511.3
2026-W20,32,babdf5cb-f2a1-4f1d-a9a8-2b57d4fd567c,Fuss-Free Tandoori Inspired Chicken Traybake,776.0516252390057,691,736.5216252390057,686.8876
2026-W20,33,d9ffbdb4-295f-43a0-a83c-0e4ab3cae42a,Pesto Chicken Traybake and Garlic Rice,665.3919694072657,560.4,593.6919694072657,550.4
2026-W20,34,c6675739-c77a-431e-b7ca-b131091a8ff1,21 Day Aged Rump Steak and Oregano Roast Potatoes,600.3824091778203,570.8,530.7624091778202,562.3599999999999
2026-W20,35,6b32be29-486c-4a2a-82f1-ea9ae3c8bd4d,"Super Quick Spaghetti, Beef and Mushroom Ragu",704.1108986615678,419.9,696.3708986615678,417.9
2026-W20,36,a07be9ce-ef41-4875-963c-f6e4b9f92e1f,Squeaky Clean Up Lamb Tagine,741.395793499044,578.5,681.755793499044,569.72
2026-W20,37,eb80356a-2bc1-4aa9-afda-686b2842048f,Peri Peri Chicken Fajita Style Tacos,761.2332695984703,460.3,761.2332695984703,460.3
2026-W20,38,0dc9b418-224b-4922-a82b-ea8d375ef710,Easy Peasy Teriyaki Sambal Chicken,548.2791586998088,436.8,548.2791586998088,436.8
2026-W20,39,dbbfa7dc-7d8c-4333-b870-3027aa906f4d,Spring Clean Up Cajun Spiced Chorizo and Leek Orzo,775.3346080305927,419.3,775.3346080305927,419.3
2026-W20,40,82dba068-9448-467d-b573-c9ca3e8c16c9,Speedy Beef and Red Wine Open Pie,559.2734225621415,589.5,551.5334225621415,587.5
2026-W20,41,646fb001-368c-4dfe-80fb-92e4b37ee439,Roasted Chicken Thighs and Cheesy Leek Sauce,775.095602294455,627.9,775.095602294455,627.9
2026-W20,42,2297302b-8e2c-4513-bde0-fde8b573865b,Cheesy Harissa Fritter Burger and Chips,951.4818355640535,819.8,804.8418355640536,789.3
2026-W20,43,3ab575c4-a15b-4713-aa95-e424d1ae9219,Rich and Creamy Veggie 'Nduja Tortelloni,636.472275334608,432.5,636.472275334608,432.5
2026-W20,44,0a721d64-ed16-480f-8b17-371c72bdb054,Yi Mein Inspired Longevity Noodles,502.151051625239,355.5,403.931051625239,345.2788
2026-W20,45,80bfe8f3-8c0d-42d1-9e76-6127680415b4,Veggie Peanut Noodle Stir-Fry,547.5621414913958,364.5,539.8221414913958,362.5
2026-W20,46,a8ebd4e9-a2ee-4301-9527-5bd4214caf1e,Hearty Lentil and Mushroom Cottage Pie,714.3881453154876,731.4,599.0981453154876,714.4
2026-W20,47,c2ff355d-1f64-4bbe-b713-c399f8bf1267,Butternut Squash Masala,742.1128107074569,877.5,742.1128107074569,877.5
2026-W20,48,61a5e74e-1cc5-4af6-ae4a-ba2aa1d62c07,Glazed Halloumi and Gochujang Coconut Curry,881.453154875717,474.5,872.853154875717,472.28
2026-W20,49,8525d369-0931-4775-be7d-3fff6beaaf7f,Cheesy Veggie Mince Quesadillas,910.3728489483748,610.4,840.7528489483748,601.9599999999999
2026-W20,50,b9a9a943-4fb4-43a9-be15-78b62d08242e,"Coconut, Ginger and Lemongrass Tofu Bowl",752.151051625239,567,672.711051625239,555
2026-W20,51,2d78b8ce-6033-4f5e-ba48-cab9cd9411cc,Chermoula Spiced Butter Bean Salad,560.7074569789675,481.5,429.20745697896746,466.62
2026-W20,52,cc814112-9f35-4738-9c34-74750b86e119,Honey Mustard Roasted Radish Gyros Style Flatbreads,579.8279158699809,530,579.8279158699809,530
2026-W20,53,b86d2026-165d-41c1-9633-7aa4c7031e22,Smoky Ratatouille Stuffed Courgette,490.91778202676863,745.3,447.32778202676866,738.3
2026-W20,54,93071fa9-8cf2-461f-9087-548f0622d67b,"Wham, Bam, One Pan Hoisin Pork Udon",588.6711281070745,410.5,588.6711281070745,410.5
2026-W20,55,75d38fd7-8fa4-42ff-bbee-049e9d996237,Homemade Lamb Keema Pau,644.359464627151,526,636.619464627151,524
